T_mod1,T_mod2,T_mod3,T_mod4,T_mod5
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
20.634,13.9425171437579,18.3120121753075,14.3077715085833,17.1563632894721
