I_mod1,I_mod2,I_mod3,I_mod4,I_mod5
2.35452292583362,0.732484189757328,1.79002740546844,0.820631171766271,1.50967950316654
2.35452292583362,0.732484189757328,1.79002740546844,0.820631171766271,1.50967950316654
2.35435396906522,0.73248674022176,1.79002682749035,0.820634287526768,1.50968185651848
2.35388184785378,0.732493866440329,1.79002521258326,0.820642993210984,1.50968843184002
2.35362711084235,0.732497702774228,1.79002434328937,0.820647679794676,1.50969197134433
2.35367417961223,0.732496973701658,1.79002450862426,0.820646789130486,1.50969129872497
2.35366278405272,0.732497120839731,1.79002447542566,0.820646968873713,1.50969143454068
2.35366254681436,0.732497093561711,1.79002448176648,0.820646935544015,1.50969140944153
2.35366018775825,0.732497098318974,1.7900244808285,0.820646941350345,1.50969141389037
2.35365749791119,0.732497097586883,1.79002448115443,0.82064694044992,1.50969141328314
2.35365474803789,0.732497097753577,1.79002448125176,0.820646940648477,1.50969141349464
2.35365126327396,0.732497097789274,1.79002448138332,0.820646940686767,1.50969141358706
2.35364777739372,0.732497097833418,1.79002448148579,0.82064694073647,1.50969141367584
2.35364341024556,0.732497097873932,1.79002448158519,0.820646940781824,1.50969141375946
2.35363904320259,0.732497097904834,1.79002448166081,0.820646940816474,1.50969141382327
2.35363352955439,0.732497097933043,1.79002448172952,0.820646940848069,1.50969141388127
2.35362801601177,0.732497097952823,1.790024481778,0.820646940870248,1.50969141392216
2.35362085630126,0.732497097969713,1.7900244818191,0.820646940889162,1.50969141395686
2.35361369667045,0.732497097980234,1.79002448184494,0.820646940900964,1.50969141397865
2.35360387362044,0.732497097988284,1.79002448186449,0.820646940909975,1.50969141399516
2.35359184664526,0.732497097992758,1.79002448187544,0.82064694091499,1.5096914140044
2.35357639561851,0.732497097994451,1.79002448187961,0.820646940916891,1.50969141400791
2.35355519785295,0.732497097994042,1.79002448187865,0.820646940916436,1.50969141400709
2.35352273433097,0.73249709799186,1.79002448187338,0.820646940913996,1.50969141400264
2.35346121334673,0.732497097987097,1.79002448186183,0.820646940908665,1.50969141399289
2.35324311193387,0.732497097970067,1.79002448182037,0.820646940889594,1.50969141395789
2.35224073088929,0.732497097891749,1.79002448162956,0.820646940801871,1.50969141379683
2.34590881891704,0.732497097397117,1.79002448042465,0.820646940247864,1.50969141277977
2.02646371409185,0.73249707244367,1.79002441964056,0.820646912299173,1.50969136147199
1.79014920345671,0.732497053985392,1.79002437468303,0.820646891625636,1.50969132352263
1.79014920345659,0.732497053985392,1.79002437468303,0.820646891625636,1.50969132352263
1.78988347843684,0.732497053976115,1.79001916815891,0.820646891615527,1.50969132350608
1.79007489311856,0.732497053979451,1.79002025656113,0.820646891618349,1.50969132350493
1.79007314696314,0.732497053978652,1.79002068219319,0.820646891617289,1.50969132350186
1.79006458653919,0.732497053977949,1.79002040158205,0.820646891616423,1.50969132349974
1.79002779501625,0.732497053976463,1.79001765690407,0.820646891614771,1.50969132349679
1.78995969797292,0.732497053973512,1.79001056351217,0.820646891611462,1.5096913234907
1.78991916067714,0.732497053971645,1.7900034451878,0.820646891609371,1.50969132348685
1.78988565185246,0.73249705396994,1.7899933766843,0.82064689160746,1.50969132348334
1.7898609181329,0.732497053968461,1.78998031241636,0.820646891605804,1.5096913234803
1.78983799438951,0.732497053966845,1.78996186820701,0.820646891603993,1.50969132347697
1.78980731882416,0.732497053964485,1.78993214810288,0.820646891601351,1.50969132347212
1.78974411790215,0.732497053959547,1.789868939371,0.82064689159582,1.50969132346197
1.78942807267461,0.732497053934858,1.78955289560304,0.820646891568167,1.5096913234112
1.78784782987674,0.73249705381141,1.78797265307436,0.8206468914299,1.50969132315736
1.78545439599746,0.732497053624436,1.78557921446799,0.820646891220481,1.5096913227729
1.75998942389409,0.732497051634954,1.76010886463819,0.820646888992261,1.50969131868241
1.72742061576162,0.732497049090349,1.72752292596113,0.820646886142184,1.50969131345049
1.65358127383593,0.732497043321659,1.65366272794589,0.820646879681076,1.50969130158949
1.50972489469557,0.732497032083379,1.50978259999874,0.820646867093829,1.50969127848216
1.50972489469547,0.732497032083379,1.50978259999864,0.820646867093829,1.50969127848216
1.50972340206286,0.732497032082839,1.50977588923866,0.820646867093154,1.5096911890571
1.50972461596621,0.732497032082584,1.5097771741124,0.8206468670928,1.50969118361171
1.5097225514585,0.732497032081825,1.50977442796051,0.820646867091813,1.50969105862022
1.50971254582752,0.732497032081063,1.50976134644137,0.820646867090928,1.50969043799942
1.5096701834233,0.732497032078461,1.50970609290903,0.820646867088019,1.50968731927433
1.50961997746345,0.732497032075314,1.50964110178038,0.820646867084493,1.50968191891602
1.50958839141756,0.732497032073293,1.50960082977556,0.820646867082228,1.50967648247654
1.50956109011548,0.7324970320715,1.50956696774465,0.820646867080219,1.50966880913225
1.50954071931827,0.73249703207009,1.50954299979757,0.820646867078639,1.5096591005143
1.50952280581068,0.732497032068771,1.50952345431171,0.820646867077162,1.50964596415261
1.50950173503632,0.732497032067148,1.50950187641182,0.820646867075344,1.5096263491963
1.50946632681848,0.732497032064383,1.50946641097781,0.820646867072247,1.50959109487316
1.50936459107942,0.732497032056434,1.50936468031016,0.820646867063343,1.50948934115567
1.50894327108441,0.732497032023522,1.50894335983334,0.82064686702648,1.50906802503967
1.50683611151353,0.732497031858911,1.50683619880995,0.820646866842108,1.50696086583188
1.50576137969607,0.732497031774956,1.50576147294991,0.820646866748075,1.50588612314042
1.50388111511725,0.732497031628142,1.50388144398838,0.820646866583643,1.50400541920432
1.50116851739989,0.732497031416142,1.50116944024932,0.820646866346194,1.50129089365015
