V_mod1,V_mod2,V_mod3,V_mod4,V_mod5
3.20453322410094,-0.801614026441576,-0.800556485340947,-0.80152587963586,-0.800836832682554
3.20453322410094,-0.801614026441576,-0.800556485340947,-0.80152587963586,-0.800836832682554
3.20464244500199,-0.801613868786292,-0.800556330810386,-0.801525721414972,-0.800836675221653
3.20519005510338,-0.801613458431049,-0.800555929177778,-0.801525309478727,-0.80083626540373
3.20793658612825,-0.801613535385853,-0.800556010748224,-0.801525385575782,-0.800836342589238
3.21280600383561,-0.801614142867554,-0.800556617185434,-0.801525993206564,-0.800836949904185
3.21942868711893,-0.801614826027135,-0.800557300339059,-0.801526676318012,-0.800837632938179
3.22762198682622,-0.801615589598802,-0.80055806367229,-0.801527439878658,-0.800838396357144
3.23581490253657,-0.801616257151114,-0.800558731050654,-0.801528107414947,-0.800839063777741
3.24678802381681,-0.801617024983465,-0.800559498675323,-0.801528875230243,-0.800839831458117
3.25776064821359,-0.801617668579561,-0.800560142098166,-0.80152951881186,-0.80084047492679
3.27170912211645,-0.801618339111009,-0.800560812448774,-0.80153018932824,-0.80084114532535
3.28565705593591,-0.801618874605136,-0.800561347798312,-0.801530724810314,-0.800841680713214
3.3031319707235,-0.801619396334825,-0.800561869386863,-0.801531246528239,-0.800842202339179
3.32060637093123,-0.801619789403859,-0.800562262349278,-0.801531639588385,-0.800842595329856
3.3426688613674,-0.801620150562022,-0.800562623409073,-0.801532000738349,-0.800842956415727
3.36473091378643,-0.801620402202543,-0.80056287498061,-0.80153225237312,-0.80084320800555
3.39338001000117,-0.801620618590571,-0.800563091308666,-0.801532468756149,-0.800843424349504
3.42202877517913,-0.801620752209308,-0.800563224889638,-0.801532602371737,-0.800843557940487
3.46133504105554,-0.801620855531428,-0.800563328181404,-0.801532705691328,-0.8008436612403
3.50946015518939,-0.80162091249688,-0.800563385128348,-0.801532762655237,-0.80084371819215
3.57128637336531,-0.801620933976889,-0.800563406598451,-0.80153278413442,-0.800843739664879
3.65610776300562,-0.801620928538887,-0.800563401156223,-0.801532778696066,-0.800843734223771
3.78600827691434,-0.801620900386894,-0.800563373003078,-0.801532750543977,-0.800843706070931
4.03218012475819,-0.801620839147359,-0.800563311763475,-0.801532689304436,-0.800843644831346
4.90489648348281,-0.801620621008971,-0.800563093625122,-0.801532471166051,-0.800843426692984
8.91578996267142,-0.801619618632186,-0.800562091248448,-0.801531468789275,-0.80084242431628
28.9702520785117,-0.801613286722503,-0.800555759339475,-0.801525136879651,-0.800836092407119
38.9689742985357,-0.801293841712201,-0.800236314365004,-0.801205691872342,-0.800516647423173
40.2066349027083,-0.801057527320698,-0.8,-0.800969377483057,-0.800280333051161
40.2066349027087,-0.801057527320698,-0.799999999999905,-0.800969377483056,-0.80028033305116
40.1416410956334,-0.801057391855242,-0.734736599321025,-0.800969242017601,-0.800280197585712
40.1893353825209,-0.80105748810593,-0.782160597456535,-0.80096933826829,-0.800280293836405
40.1892007066374,-0.801057487444896,-0.781452698015977,-0.800969337607256,-0.800280293175373
40.189117934142,-0.801057483020622,-0.77850381109311,-0.800969333182982,-0.8002802887511
40.1893111842809,-0.801057463236077,-0.764366482084191,-0.800969313398437,-0.800280268966556
40.1895565590567,-0.80105742561172,-0.727057088771108,-0.800969275774081,-0.800280231342202
40.1897068412557,-0.801057401768034,-0.68965256153932,-0.800969251930396,-0.800280207498519
40.1898312225361,-0.801057379968306,-0.636743561182058,-0.800969230130668,-0.800280185698793
40.1899231518725,-0.801057361063857,-0.568092652595722,-0.800969211226219,-0.800280166794345
40.1900085229019,-0.801057340377815,-0.471171155351709,-0.800969190540178,-0.800280146108305
40.1901228875707,-0.801057310179553,-0.314996694192738,-0.800969160341916,-0.800280115910045
40.190358536459,-0.801057246974737,0.0171551731864626,-0.800969097137101,-0.800280052705235
40.1915365205821,-0.801056930930264,1.67791477034006,-0.80096878109263,-0.800279736660787
40.1974177208552,-0.801055350687724,9.98172147638967,-0.800967200850105,-0.800278156418378
40.2062978898687,-0.801052957251669,22.4373730976436,-0.800964807414073,-0.80027576298252
40.300762353947,-0.801027489593943,34.8073712011696,-0.800939339756585,-0.800250295326895
40.411568020934,-0.800994912230142,36.4840234396328,-0.800906762393089,-0.800217717965781
40.6508851189833,-0.800921062474852,38.0320404298631,-0.800832912638492,-0.800143868216584
41.0592631194279,-0.800777194246399,39.4456895607566,-0.800689044411388,-0.8
41.0592631194133,-0.800777194246399,39.4456895607426,-0.800689044411388,-0.799999999970398
41.0599438830592,-0.800777191482083,39.4438288643536,-0.800689041647073,-0.798660743943062
41.0601800148371,-0.800777192313139,39.4441675771027,-0.800689042478128,-0.799076257995355
41.0601939760858,-0.800777190667666,39.4441733854434,-0.800689040832656,-0.798299386812348
41.0602199924848,-0.800777182763842,39.4442653054882,-0.800689032928832,-0.794434118747236
41.0603309778836,-0.800777149180501,39.4446527480491,-0.800688999345491,-0.775016512290736
41.060462617854,-0.800777108975689,39.4451083210555,-0.800688959140679,-0.74139377405726
41.0605451839834,-0.800777083207027,39.4453904353842,-0.800688933372017,-0.707548474433056
41.0606168070399,-0.800777060259342,39.445627958284,-0.800688910424333,-0.659777138072516
41.060670201253,-0.800777042242442,39.4457961889253,-0.800688892407433,-0.599336410397998
41.0607172220995,-0.800777025376751,39.4459336214076,-0.800688875541742,-0.517556954533748
41.0607725889872,-0.800777004621912,39.4460855824206,-0.800688854786903,-0.395445846588532
41.0608656932222,-0.80077696924568,39.4463354960815,-0.800688819410671,-0.175973405378047
