mes,dia,hora,Ir_total,Ir_difusa,Temperatura
1,23,11,467,96,4.66
1,23,12,210,204,5.95
1,23,13,462,155,6.95
1,23,14,278,212,7.19
1,23,15,192,154,7.16
1,23,16,136,67,6.75
1,24,8,70,28,6.05
1,24,9,239,52,6.5
1,24,10,381,69,7.19
1,24,11,471,97,7.72
1,24,12,518,96,8.27
1,24,13,508,90,8.91
1,24,14,418,115,9.27
1,24,15,297,98,9.29
1,24,16,140,69,8.98
1,25,8,23,23,1.96
1,25,9,217,87,2.57
1,25,10,322,154,4.9
1,25,11,440,149,6.69
1,25,12,473,171,7.9
1,25,13,366,243,9.22
1,25,14,344,197,9.72
1,25,15,294,108,9.85
1,25,16,149,65,9.57
1,26,8,59,39,6.97
1,26,9,186,113,8.21
1,26,10,302,173,10.18
1,26,11,512,30,11.94
1,26,12,536,82,13.03
1,26,13,533,57,13.86
1,26,14,436,101,14.38
1,26,15,334,55,14.42
1,26,16,159,59,13.94
1,27,8,45,39,3.37
1,27,9,80,80,5.14
1,27,10,50,50,6.4
1,27,11,124,124,7.6
1,27,12,245,230,8.71
1,27,13,242,226,9.07
1,27,14,120,120,8.73
1,27,15,87,87,8.37
1,27,16,53,53,7.86
1,28,8,84,23,-0.1
1,28,9,233,79,1.94
1,28,10,218,188,5.24
1,28,11,481,108,6.95
1,28,12,559,51,8.41
1,28,13,523,97,9.72
1,28,14,453,90,10.64
1,28,15,330,78,11
1,28,16,178,48,10.84
1,29,8,88,22,1.16
1,29,9,247,64,2.18
1,29,10,388,90,5.16
1,29,11,493,94,7.26
1,29,12,558,64,8.92
1,29,13,530,92,10.1
1,29,14,457,90,11.05
1,29,15,342,65,11.49
1,29,16,190,35,11.34
1,30,8,77,38,0.92
1,30,9,249,67,3
1,30,10,379,110,5.8
1,30,11,495,99,8.22
1,30,12,526,129,10.04
1,30,13,523,114,11.41
1,30,14,444,119,12.44
1,30,15,309,121,12.92
1,30,16,146,88,12.68
1,30,17,14,12,11.23
1,31,8,86,34,1.06
1,31,9,264,49,3.59
1,31,10,412,63,6.32
1,31,11,494,110,8.41
1,31,12,540,116,10.33
1,31,13,546,82,11.93
1,31,14,480,67,13.03
1,31,15,352,67,13.55
1,31,16,196,41,12.5
1,31,17,18,14,11.48
2,1,8,87,37,-1.26
2,1,9,258,69,1.75
2,1,10,404,88,4.06
2,1,11,509,93,5.28
2,1,12,560,91,6.34
2,1,13,548,90,7.16
2,1,14,471,94,7.66
2,1,15,352,78,7.87
2,1,16,190,59,7.65
2,1,17,26,15,6.88
2,2,8,91,37,-1.74
2,2,9,262,69,0.78
2,2,10,413,80,3.46
