,0
532,52.83
533,52.82
534,52.83
535,52.82
536,52.83
537,52.82
538,52.83
539,52.82
540,52.83
541,52.82
542,52.82
543,52.82
544,52.82
545,52.82
546,52.82
547,52.81
548,52.82
549,52.82
550,52.83
551,52.82
552,52.83
553,52.82
554,52.83
555,52.82
556,52.81
557,52.83
558,52.83
559,52.83
560,52.82
561,52.83
562,52.82
563,52.82
564,52.82
565,52.82
566,52.83
567,52.82
568,52.83
569,52.83
570,52.83
571,52.83
572,52.82
573,52.82
574,52.82
575,52.83
576,52.82
577,52.82
578,52.82
579,52.82
580,52.83
581,52.82
582,52.83
583,52.83
584,52.83
585,52.83
586,52.83
587,52.83
588,52.81
589,52.82
590,52.82
591,52.82
592,52.82
593,52.82
594,52.82
595,52.82
596,52.83
597,52.82
598,52.83
599,52.83
600,52.81
601,52.82
602,52.82
603,52.82
604,52.82
605,52.82
606,52.82
607,52.82
608,52.81
609,52.82
610,52.82
611,52.81
612,52.82
613,52.82
614,52.81
615,52.81
616,52.82
617,52.82
618,52.82
619,52.83
620,52.82
621,52.82
622,52.82
623,52.82
624,52.83
625,52.82
626,52.82
627,52.81
628,52.81
629,52.82
630,52.82
631,52.82
632,52.82
633,52.81
634,52.82
635,52.83
636,52.82
637,52.82
638,52.82
639,52.82
640,52.82
641,52.83
642,52.82
643,52.82
644,52.82
645,52.82
646,52.82
647,52.82
648,52.82
649,52.83
650,52.82
651,52.83
652,52.82
653,52.82
654,52.82
655,52.82
656,52.82
657,52.82
658,52.82
659,52.82
660,52.82
661,52.82
662,52.82
663,52.83
664,52.81
665,52.82
666,52.83
667,52.82
668,52.82
669,52.83
670,52.82
671,52.83
672,52.82
673,52.82
674,52.82
675,52.82
676,52.83
677,52.82
678,52.82
679,52.82
680,52.83
681,52.82
682,52.83
683,52.82
684,52.82
685,52.83
686,52.82
687,52.82
688,52.82
689,52.82
690,52.82
691,52.83
692,52.82
693,52.82
694,52.82
695,52.82
696,52.82
697,52.82
698,52.82
699,52.82
700,52.83
701,52.82
702,52.82
703,52.81
704,52.82
705,52.82
706,52.83
707,52.83
708,52.82
709,52.82
710,52.82
711,52.82
712,52.82
713,52.83
714,52.82
715,52.82
716,52.82
717,52.83
718,52.83
719,52.83
720,52.82
721,52.82
722,52.83
723,52.83
724,52.83
725,52.83
726,52.83
727,52.83
728,52.83
729,52.83
730,52.83
731,52.83
732,52.83
733,52.83
734,52.82
735,52.82
736,52.82
737,52.83
738,52.83
739,52.82
740,52.83
741,52.83
742,52.82
743,52.83
744,52.82
745,52.83
746,52.83
747,52.83
748,52.82
749,52.83
750,52.83
751,52.83
752,52.82
753,52.83
754,52.83
755,52.83
756,52.83
757,52.82
758,52.82
759,52.82
760,52.83
761,52.83
762,52.83
763,52.82
764,52.83
765,52.82
766,52.83
767,52.83
768,52.83
769,52.82
770,52.82
771,52.81
772,52.83
773,52.83
774,52.82
775,52.83
776,52.83
777,52.82
778,52.82
779,52.83
780,52.82
781,52.83
782,52.83
783,52.83
784,52.83
785,52.83
786,52.82
787,52.83
788,52.83
789,52.83
790,52.83
791,52.83
792,52.83
793,52.83
794,52.82
795,52.82
796,52.82
797,52.82
798,52.82
799,52.82
800,52.82
801,52.82
802,52.82
803,52.82
804,52.82
805,52.82
806,52.83
807,52.83
808,52.82
809,52.81
810,52.83
811,52.82
812,52.83
813,52.82
814,52.83
815,52.82
816,52.81
817,52.83
818,52.81
819,52.83
820,52.81
821,52.81
822,52.82
823,52.82
824,52.81
825,52.82
826,52.82
827,52.83
828,52.82
829,52.82
830,52.83
831,52.82
832,52.83
833,52.83
834,52.82
835,52.82
836,52.82
837,52.82
838,52.83
839,52.83
840,52.83
841,52.82
842,52.83
843,52.82
844,52.83
845,52.82
846,52.83
847,52.82
848,52.82
849,52.83
850,52.82
851,52.82
852,52.83
853,52.82
854,52.82
855,52.82
856,52.83
857,52.82
858,52.82
859,52.82
860,52.82
861,52.82
